Kfz-Kennzeichen,Stadt oder Landkreis,abgeleitet von,Bundesland,Anmerkungen
A,Stadt Augsburg,Augsburg,Bayern,
A,Landkreis Augsburg,Augsburg,Bayern,
AA,Ostalbkreis,Aalen,Baden-Württemberg,
AB,Stadt Aschaffenburg,Aschaffenburg,Bayern,
AB,Landkreis Aschaffenburg,Aschaffenburg,Bayern,
ABG,Landkreis Altenburger Land,Altenburg,Thüringen,
ABI,Landkreis Anhalt-Bitterfeld,Anhalt-Bitterfeld,Sachsen-Anhalt,
AC,Städteregion Aachen,Aachen / Aix la Chapelle,Nordrhein-Westfalen,
AE,Vogtlandkreis,Auerbach,Sachsen,
AH,Kreis Borken,Ahaus,Nordrhein-Westfalen,
AIB,Landkreis München,Bad Aibling,Bayern,
AIB,Landkreis Rosenheim,Bad Aibling,Bayern,
AIC,Landkreis Aichach-Friedberg,Aichach,Bayern,
AK,Landkreis Altenkirchen (Westerwald),Altenkirchen,Rheinland-Pfalz,
AL,Landkreis Altena (Westfalen),Altena,Nordrhein-Westfalen,auslaufend
ALF,Landkreis Hildesheim,Alfeld (Leine),Niedersachsen,
ALS,Alsfeld (Oberhessen),Alsfeld,Hessen,
ALZ,Landkreis Aschaffenburg,Alzenau (Unterfranken),Bayern,
AM,Stadt Amberg,Amberg,Bayern,
AN,Stadt Ansbach,Ansbach,Bayern,
AN,Landkreis Ansbach,Ansbach,Bayern,
ANA,Erzgebirgskreis,Annaberg-Buchholz,Sachsen,
ANG,Landkreis Uckermark,Angermünde,Brandenburg,
ANK,Landkreis Vorpommern-Greifswald ohne die Stadt Greifswald,Anklam,Mecklenburg-Vorpommern,
AÖ,Landkreis Altötting,Altötting,Bayern,
AP,Landkreis Weimarer Land,Apolda,Thüringen,
APD,Landkreis Weimarer Land,Apolda,Thüringen,
AR,Landkreis Arnsberg,Arnsberg,Nordrhein-Westfalen,auslaufend
ARN,Ilm-Kreis,Arnstadt,Thüringen,
ART,Kyffhäuserkreis,Artern,Thüringen,
AS,Landkreis Amberg-Sulzbach,"Amberg, Sulzbach",Bayern,
ASD,Landkreis Aschendorf-Hümmling,Aschendorf,Niedersachsen,auslaufend
ASL,Salzlandkreis,Aschersleben,Sachsen-Anhalt,
